duration	srcIP	srcPort	dstIP	avePktSize	stdPktSize	aveIAT	tcpPSeqCnt	tcpAveWinSz	tcpRTTAckTripAve
0.000000000	04	0	224.0.0.22	8	0	0	0	0	0
89.486808346	04	0	224.0.0.22	8	0	14.91447	0	0	0
89.845264971	04	0	224.0.0.22	8	0	12.83504	0	0	0
0.000000000	04	0	224.0.0.22	8	0	0	0	0	0
90.469179312	04	0	224.0.0.22	9.333333	2.721656	15.0782	0	0	0
90.520566192	04	0	224.0.0.22	8	0	12.93151	0	0	0
86.420570085	04	52248	172.217.29.226	1243	52.10526	58.10571	35032924	64240	0.1382213
86.331357653	us	443	10.49.10.60	2824	986.717	58.10531	877098167	65535	58.05786
59.249208360	04	60318	199.232.215.52	81.45454	157.5691	5.386292	10	64030.37	0.0390235
59.160647869	us	10.49.10.60	04	358.5454	507.7406	5.378241	11	145141.9	5.365076
59.245538463	04	52952	35.244.232.184	670	68.92308	58.71242	1900248735	64240	0.05222419
59.157293624	us	443	10.49.10.60	2048	519.7	58.70826	3256409397	65535	58.66019
59.196884914	04	41916	157.240.12.35	63.57143	141.9728	4.228349	13	64100.49	0.03732404
59.104505760	us	10.49.10.60	04	348.0909	464.1361	5.373137	11	67028.59	4.210574
59.253898375	04	60812	151.101.64.114	85.27273	155.3413	5.386718	10	64065.16	0.04965038
59.161675068	us	10.49.10.60	04	361.1667	499.606	4.93014	9	145836.2	5.351612
90.468649845	04	0	224.0.0.22	8	0	12.92409	0	0	0
90.421439283	04	0	224.0.0.22	8	0	12.91735	0	0	0
0.000000000	04	0	224.0.0.22	8	0	0	0	0	0
0.012590917	02	ff02::16	10	26.66667	7.698003	0.004196973	0	0	0
0.000000000	02	ff02::1:3	10	26	26	0	0	0	0
0.000000000	04	62882	224.0.0.252	0	26	0	0_0	0	0
0.005651390	04	5353	224.0.0.251	51	14.85298	0.001412847	0	0	0
0.005567693	02	ff02::fb	10	14.85298	0	0.00108652	0	0	0
90.776971340	04	0	224.0.0.22	8	0	8.252452	0	0	0
0.000000000	04	0	224.0.0.22	8	0	0	0	0	0
7.994493470	04	0	224.0.0.22	8	0	2.664831	0	0	0
0.000000000	04	0	224.0.0.22	8	0	0	0	0	0
0.000000000	04	0	224.0.0.22	8	0	0	0	0	0
90.885425472	04	0	224.0.0.22	8	0	12.98363	0	0	0
90.904353515	04	0	224.0.0.22	8	0	12.98633	0	0	0
0.000000000	04	0	224.0.0.22	8	0	0	0	0	0
91.498216767	04	0	224.0.0.22	8.666667	2.0239	7.624851	0	0	0
91.406201559	04	0	224.0.0.22	8	0	13.05803	0	0	0
91.422999563	04	0	224.0.0.22	8	0	13.06043	0	0	0
91.970234907	04	0	224.0.0.22	8	0	13.13861	0	0	0
91.984159345	04	0	224.0.0.22	8	0	13.1406	0	0	0
92.003727763	04	0	224.0.0.22	8	0	13.14339	0	0	0
0.000000000	02	ff02::1:2	10	0	0	0	0	0	0
20.931896534	04	45257	142.251.129.65	1357	1357	9.782649	0	0	0
0.000000000	04	0	224.0.0.22	8	0	0	0	0	0
0.000000000	-	255.255.255.255	11	0	0	0	0	0	0
0.000000000	04	67	255.255.255.255	322	0	0	0	0	0
1.007542431	-	-	-	0	0	0.3452489	0	0	0
0.000000000	02	ff02::2	10	8	0	0	0	0	0
0.000000000	04	65088	239.255.255.250	137	137	0	0	0	0
2.271366048	04	137	10.49.255.255	68	68	0.7585026	0	0	0
3.002968306	04	55024	239.255.255.250	172	172	1.001311	0	0	0
47.137003522	02	ff02::16	10	21	4.220718	2.35685	0	0	0
47.127994122	02	ff02::fb	10	16.57391	0	11.6562	0	0	0
47.128335739	04	5353	224.0.0.251	51	16.57391	4.712833	0	0	0
95.972691260	04	0	224.0.0.22	8.363636	1.619498	4.362394	0	0	0
21.525484550	04	54542	172.217.29.194	1357	1357	9.745117	0	0	0
56.494630383	-	-	-	0	0	4.75892	0	0	0
6.016218451	04	63060	239.255.255.250	137	137	3.013345	0	0	0
0.000001365	04	49471	10.54.0.155	47	47	1.365e-06	0	0	0.001082768
0.000313298	04	53	10.49.10.60	271	191	0.000313298	0	0	0
0.000012356	04	46133	10.54.0.155	35	35	1.2356e-05	0	0	0.000766192
0.000224557	04	53	10.49.10.60	63	57	0.000224557	0	0	0
0.000006659	04	52907	10.54.0.155	40	40	6.659e-06	0	0	0.001027088
0.000055131	04	53	10.49.10.60	122	89	5.5131e-05	0	0	0
97.351096357	04	52804	172.217.29.98	1247	126.4242	28.18621	1157130453	64240	0.1153863
97.350740894	us	443	10.49.10.60	768	33.52143	28.18654	492562122	65535	28.13439
0.000010259	04	44333	10.54.0.155	42	42	1.0259e-05	0	0	0.000688768
0.000056059	04	53	10.49.10.60	99	78.5	5.6059e-05	0	0	0
0.000000000	04	36419	10.54.0.155	42	42	0	0	0	0.000628416
0.000000000	04	53	10.49.10.60	58	58	0	0	0	0
21.696897454	04	45429	104.17.24.14	1357	0	1.972445	0	0	0
0.000009574	04	58794	10.54.0.155	82	82	9.574e-06	0	0	0.1678392
0.063091025	04	53	10.49.10.60	153	147	0.06309101	0	0	0
0.286201029	04	37768	172.217.28.162	1242	252.1429	0.08179013	990256722	64240	0.08177056
0.291506039	us	443	10.49.10.60	1412	469.0588	0.05919533	403825810	65535	0.0257063
97.297054756	04	44944	142.251.135.226	1245	35.81707	24.09818	1599582337	64240	0.8627581
97.296753896	us	443	10.49.10.60	2824	1076.246	24.09357	134708214	65535	24.04159
97.207485466	04	53854	142.251.129.65	712	59.2449	19.75181	2684405904	64240	0.148995
97.206914972	us	443	10.49.10.60	1520	416.08	19.75195	3213577010	65535	19.70941
3.002185149	04	56461	239.255.255.250	173	173	1.000875	0	0	0
0.247368959	04	53688	142.251.129.65	712	75.75	0.1057842	2720317266	64240	0.1057573
0.204335668	us	443	10.49.10.60	1521	453.6364	0.06220453	867740765	65535	0.00808328
99.040692023	04	52812	172.217.29.98	1412	96.79459	18.33399	2344973260	64240	0.1136927
99.039674934	us	443	10.49.10.60	2824	622.8007	18.33016	1494009061	65535	18.27773
97.336314832	04	47296	142.251.135.129	1245	101.4839	24.60902	511921333	64240	0.1053846
97.340479885	us	443	10.49.10.60	1412	135.6829	24.60493	1298798952	65535	24.56267
98.408248616	04	44380	142.250.79.34	1412	209.6358	13.81753	2114325643	64240	0.5801886
